asn,name,info_type,info_scope,created
56812,CHP Zarko Alexandr Ivanovich,(unset),Not Disclosed,2024-01-02T19:52:39Z
44482,Zurbagan,Cable/DSL/ISP,Regional,2024-01-17T07:21:30Z
56716,XATNET,(unset),Not Disclosed,2024-01-19T12:27:04Z
43765,PP SKS-LUGAN,(unset),Not Disclosed,2024-01-24T06:20:24Z
20516,Sky Vision Ukraine Ltd,Cable/DSL/ISP,Europe,2024-01-25T09:00:58Z
216271,NETLABS LLC,Cable/DSL/ISP,,2024-02-06T16:05:21Z
210442,Vozhd.net.ua,Cable/DSL/ISP,Not Disclosed,2024-02-13T11:38:18Z
204619,Primonet,Cable/DSL/ISP,Europe,2024-03-19T11:01:51Z
24593,UATOP,Cable/DSL/ISP,Not Disclosed,2024-04-15T12:58:08Z
42546,UOS,Cable/DSL/ISP,Regional,2024-04-15T14:55:39Z
39848,CITYLAN,Cable/DSL/ISP,Regional,2024-04-15T14:56:21Z
206907,UAGROUP,Cable/DSL/ISP,Regional,2024-04-15T14:56:32Z
12700,"Komertsiyno Virobnitcha Firma ""VEKTOR""",(unset),Not Disclosed,2024-04-19T06:15:39Z
211199,LIPTEL - AS211199,(unset),Not Disclosed,2024-04-21T10:34:11Z
43613,LIPTEL - AS43613,(unset),Not Disclosed,2024-04-21T10:37:22Z
209002,Blackberry Capital,Cable/DSL/ISP,Europe,2024-05-06T19:18:54Z
42714,Kichkas Network Ltd.,Cable/DSL/ISP,Not Disclosed,2024-06-13T10:22:19Z
39512,NKTV,Cable/DSL/ISP,Regional,2024-06-30T19:05:22Z
20539,Technical Centre Radio Systems,Network Services,Not Disclosed,2024-07-01T12:54:33Z
44019,Spetsnet Ltd.,(unset),Not Disclosed,2024-07-04T13:21:49Z
42798,Sergey Vyacheslavovich Gliga,Cable/DSL/ISP,Regional,2024-07-30T15:17:13Z
210896,1-IX Services,(unset),Not Disclosed,2021-09-28T11:42:53Z
60812,1-IX UA Route Servers,Route Server,Europe,2023-07-25T22:23:13Z
8601,Telnet Ltd,(unset),Not Disclosed,2024-08-28T09:54:22Z
59636,TOV TELEODIN,Cable/DSL/ISP,Regional,2024-08-29T11:23:27Z
49827,IE KHOMA YURY ROMANOVICH,(unset),Not Disclosed,2024-09-11T10:07:21Z
56600,ASCYBERLAN,Cable/DSL/ISP,Europe,2024-09-12T14:38:07Z
50633,NET-CITY,(unset),Not Disclosed,2024-09-12T21:15:54Z
199697,"LLC ""IT PROSTEER""",Enterprise,Global,2024-09-17T10:52:49Z
196939,HOMENET IT,Cable/DSL/ISP,Regional,2024-09-30T07:09:19Z
196740,Teleradiocompany TeleLan,Cable/DSL/ISP,Regional,2024-10-21T12:48:29Z
42723,TRK Vektor,Cable/DSL/ISP,Not Disclosed,2024-10-31T09:43:51Z
21376,ASVEKTOR,(unset),Not Disclosed,2024-10-31T09:44:37Z
34605,Linet,(unset),Not Disclosed,2024-12-09T18:38:18Z
208038,ITTAK,Cable/DSL/ISP,Not Disclosed,2024-12-21T12:53:17Z
57285,Ukrainian Infosystems,(unset),Not Disclosed,2025-01-05T18:35:39Z
213409,Lynqia Network,NSP,Global,2025-02-15T12:40:29Z
210169,ISP-UKRLAN,Cable/DSL/ISP,Regional,2025-03-22T10:35:08Z
51672,Bank Lviv,(unset),Not Disclosed,2025-05-16T13:03:48Z
212983,METAN NET,(unset),,2020-07-17T08:28:18Z
44209,PowerNET AS44209,(unset),Not Disclosed,2025-11-05T07:24:05Z
210572,Fortezza,Cable/DSL/ISP,Regional,2025-12-16T12:35:28Z
203284,ServerDale,Content,Regional,2026-02-06T16:30:16Z
56401,MIRTELEKOM,Cable/DSL/ISP,Regional,2026-04-27T18:22:23Z
203648,TERANET,Cable/DSL/ISP,Not Disclosed,2026-05-15T08:20:28Z
